,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
Hs 675.T,run_Hs_675.T.3,Hs 675.T,http://www.ebi.ac.uk/efo/EFO_0006587,colorectal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 675.T,http://www.ebi.ac.uk/efo/EFO_0006587,colorectal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
Hs 683,run_Hs_683.2,Hs 683,http://www.ebi.ac.uk/efo/EFO_0006441,oligodendroglioma,http://www.ebi.ac.uk/efo/EFO_0000632,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 683,http://www.ebi.ac.uk/efo/EFO_0006441,oligodendroglioma,http://www.ebi.ac.uk/efo/EFO_0000632,Yes,other
Hs 688(A).T,run_Hs_688_A_.T.3,Hs 688(A).T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 688(A).T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 695T,run_Hs_695T.3,Hs 695T,http://www.ebi.ac.uk/efo/EFO_0006588,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 695T,http://www.ebi.ac.uk/efo/EFO_0006588,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Yes,other
Hs 698.T,run_Hs_698.T.3,Hs 698.T,NA,colorectal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 698.T,NA,colorectal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
Hs 706.T,run_Hs_706.T.3,Hs 706.T,NA,bone giant cell tumor,http://www.ebi.ac.uk/efo/EFO_0007176,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 706.T,NA,bone giant cell tumor,http://www.ebi.ac.uk/efo/EFO_0007176,Yes,other
Hs 729,run_Hs_729.3,Hs 729,NA,embryonal rhabdomyosarcoma,http://www.ebi.ac.uk/efo/EFO_0000437,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 729,NA,embryonal rhabdomyosarcoma,http://www.ebi.ac.uk/efo/EFO_0000437,Yes,other
Hs 737.T,run_Hs_737.T.3,Hs 737.T,NA,bone giant cell tumor,http://www.ebi.ac.uk/efo/EFO_0007176,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 737.T,NA,bone giant cell tumor,http://www.ebi.ac.uk/efo/EFO_0007176,Yes,other
Hs 739.T,run_Hs_739.T.3,Hs 739.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 739.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
Hs 742.T,run_Hs_742.T.3,Hs 742.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 742.T,NA,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
Hs 746T,run_Hs_746T.2,Hs 746T,http://www.ebi.ac.uk/efo/EFO_0006589,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 746T,http://www.ebi.ac.uk/efo/EFO_0006589,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
Hs 766T,run_Hs_766T.2,Hs 766T,http://www.ebi.ac.uk/efo/EFO_0006590,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 766T,http://www.ebi.ac.uk/efo/EFO_0006590,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
Hs 819.T,run_Hs_819.T.3,Hs 819.T,NA,chondrosarcoma,http://www.ebi.ac.uk/efo/EFO_0000333,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 819.T,NA,chondrosarcoma,http://www.ebi.ac.uk/efo/EFO_0000333,Yes,other
Hs 821.T,run_Hs_821.T.3,Hs 821.T,NA,bone giant cell tumor,http://www.ebi.ac.uk/efo/EFO_0007176,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 821.T,NA,bone giant cell tumor,http://www.ebi.ac.uk/efo/EFO_0007176,Yes,other
Hs 822.T,run_Hs_822.T.3,Hs 822.T,NA,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 822.T,NA,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Yes,other
Hs 834.T,run_Hs_834.T.3,Hs 834.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 834.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 839.T,run_Hs_839.T.3,Hs 839.T,http://www.ebi.ac.uk/efo/EFO_0006591,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 839.T,http://www.ebi.ac.uk/efo/EFO_0006591,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 840.T,run_Hs_840.T.3,Hs 840.T,NA,squamous papilloma,http://www.ebi.ac.uk/efo/EFO_1001970,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 840.T,NA,squamous papilloma,http://www.ebi.ac.uk/efo/EFO_1001970,Yes,other
Hs 852.T,run_Hs_852.T.3,Hs 852.T,http://www.ebi.ac.uk/efo/EFO_0006592,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 852.T,http://www.ebi.ac.uk/efo/EFO_0006592,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 863.T,run_Hs_863.T.3,Hs 863.T,NA,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 863.T,NA,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Yes,other
Hs 870.T,run_Hs_870.T.3,Hs 870.T,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 870.T,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Yes,other
Hs 888.T,run_Hs_888.T.5,Hs 888.T,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 888.T,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Yes,other
Hs 895.T,run_Hs_895.T.3,Hs 895.T,http://www.ebi.ac.uk/efo/EFO_0006593,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 895.T,http://www.ebi.ac.uk/efo/EFO_0006593,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 934.T,run_Hs_934.T.3,Hs 934.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 934.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 936.T,run_Hs_936.T.5,Hs 936.T,http://www.ebi.ac.uk/efo/EFO_0006594,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 936.T,http://www.ebi.ac.uk/efo/EFO_0006594,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 939.T,run_Hs_939.T.3,Hs 939.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 939.T,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
Hs 940.T,run_Hs_940.T.3,Hs 940.T,http://www.ebi.ac.uk/efo/EFO_0006595,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 940.T,http://www.ebi.ac.uk/efo/EFO_0006595,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Yes,other
Hs 944.T,run_Hs_944.T.2,Hs 944.T,NA,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Hs 944.T,NA,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Yes,other
HuCCT1,run_HuCCT1.3,HuCCT1,NA,intrahepatic cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001961,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuCCT1,NA,intrahepatic cholangiocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001961,Yes,cholang
HuG1-N,run_HuG1_N.3,HuG1-N,NA,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuG1-N,NA,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Yes,other
HuH-6,run_HuH_6.3,HuH-6,NA,hepatoblastoma,http://www.ebi.ac.uk/efo/EFO_1000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuH-6,NA,hepatoblastoma,http://www.ebi.ac.uk/efo/EFO_1000292,Yes,liver
HuH-7,run_HuH_7.3,HuH-7,http://www.ebi.ac.uk/efo/EFO_0005384,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuH-7,http://www.ebi.ac.uk/efo/EFO_0005384,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
HuNS1,run_HuNS1.3,HuNS1,http://www.ebi.ac.uk/efo/EFO_0002207,#N/A,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuNS1,http://www.ebi.ac.uk/efo/EFO_0002207,#N/A,NA,Yes,other
HuT 102,run_HuT_102.3,HuT 102,NA,mycosis fungoides,http://www.ebi.ac.uk/efo/EFO_1001051,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuT 102,NA,mycosis fungoides,http://www.ebi.ac.uk/efo/EFO_1001051,Yes,other
HuT 78,run_HuT_78.3,HuT 78,NA,mycosis fungoides,http://www.ebi.ac.uk/efo/EFO_1001051,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuT 78,NA,mycosis fungoides,http://www.ebi.ac.uk/efo/EFO_1001051,Yes,other
HuTu 80,run_HuTu_80.3,HuTu 80,NA,duodenal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000223,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,HuTu 80,NA,duodenal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000223,Yes,other
IA-LM,run_IA_LM.5,IA-LM,NA,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IA-LM,NA,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
IGR-1,run_IGR_1.3,IGR-1,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IGR-1,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
IGR-37,run_IGR_37.2,IGR-37,http://www.ebi.ac.uk/efo/EFO_0006597,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IGR-37,http://www.ebi.ac.uk/efo/EFO_0006597,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
IGROV1,run_IGROV1.2,IGROV1,http://www.ebi.ac.uk/efo/EFO_0005385,ovarian endometrioid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000416,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IGROV1,http://www.ebi.ac.uk/efo/EFO_0005385,ovarian endometrioid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000416,Yes,other
IM95,run_IM95.5,IM95,NA,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IM95,NA,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
IMR-32,run_IMR_32.3,IMR-32,http://www.ebi.ac.uk/efo/EFO_0001195,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IMR-32,http://www.ebi.ac.uk/efo/EFO_0001195,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
IPC-298,run_IPC_298.5,IPC-298,http://www.ebi.ac.uk/efo/EFO_0006447,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IPC-298,http://www.ebi.ac.uk/efo/EFO_0006447,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Yes,other
IST-MES1,run_IST_MES1.5,IST-MES1,NA,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IST-MES1,NA,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Yes,other
IST-MES2,run_IST_MES2.3,IST-MES2,NA,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,IST-MES2,NA,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Yes,other
Ishikawa (Heraklio) 02 ER-,run_Ishikawa__Heraklio__02_ER_.3,Ishikawa (Heraklio) 02 ER-,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Ishikawa (Heraklio) 02 ER-,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
J82,run_J82.3,J82,http://www.ebi.ac.uk/efo/EFO_0002210,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,J82,http://www.ebi.ac.uk/efo/EFO_0002210,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
JHH-1,run_JHH_1.3,JHH-1,http://www.ebi.ac.uk/efo/EFO_0006599,#N/A,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHH-1,http://www.ebi.ac.uk/efo/EFO_0006599,#N/A,NA,Yes,other
JHH-2,run_JHH_2.3,JHH-2,http://www.ebi.ac.uk/efo/EFO_0006600,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHH-2,http://www.ebi.ac.uk/efo/EFO_0006600,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
JHH-4,run_JHH_4.3,JHH-4,http://www.ebi.ac.uk/efo/EFO_0006601,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHH-4,http://www.ebi.ac.uk/efo/EFO_0006601,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
JHH-5,run_JHH_5.1,JHH-5,http://www.ebi.ac.uk/efo/EFO_0006602,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHH-5,http://www.ebi.ac.uk/efo/EFO_0006602,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
JHH-6,run_JHH_6.5,JHH-6,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHH-6,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
JHH-7,run_JHH_7.1,JHH-7,http://www.ebi.ac.uk/efo/EFO_0006603,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHH-7,http://www.ebi.ac.uk/efo/EFO_0006603,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
JHOC-5,run_JHOC_5.2,JHOC-5,NA,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHOC-5,NA,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Yes,other
JHOM-1,run_JHOM_1.2,JHOM-1,NA,ovarian mucinous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0006462,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHOM-1,NA,ovarian mucinous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0006462,Yes,other
JHOM-2B,run_JHOM_2B.1,JHOM-2B,NA,ovarian mucinous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0006462,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHOM-2B,NA,ovarian mucinous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0006462,Yes,other
JHOS-2,run_JHOS_2.2,JHOS-2,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHOS-2,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
JHOS-4,run_JHOS_4.2,JHOS-4,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHOS-4,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
JHUEM-1,run_JHUEM_1.5,JHUEM-1,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHUEM-1,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
JHUEM-2,run_JHUEM_2.1,JHUEM-2,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHUEM-2,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
JHUEM-3,run_JHUEM_3.1,JHUEM-3,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHUEM-3,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
JHUEM-7,run_JHUEM_7.1,JHUEM-7,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JHUEM-7,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
JIMT-1,run_JIMT_1.1,JIMT-1,http://www.ebi.ac.uk/efo/EFO_0005388,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JIMT-1,http://www.ebi.ac.uk/efo/EFO_0005388,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
JJN-3,run_JJN_3.2,JJN-3,http://www.ebi.ac.uk/efo/EFO_0006605,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JJN-3,http://www.ebi.ac.uk/efo/EFO_0006605,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Yes,other
JK-1,run_JK_1.1,JK-1,NA,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JK-1,NA,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Yes,other
JL-1,run_JL_1.1,JL-1,http://www.ebi.ac.uk/efo/EFO_0006448,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JL-1,http://www.ebi.ac.uk/efo/EFO_0006448,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Yes,other
JM1,run_JM1.1,JM1,http://www.ebi.ac.uk/efo/EFO_0002212,T-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000209,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JM1,http://www.ebi.ac.uk/efo/EFO_0002212,T-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000209,Yes,other
JMSU-1,run_JMSU_1.1,JMSU-1,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JMSU-1,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
JURKAT,run_JURKAT.1,JURKAT,http://www.ebi.ac.uk/efo/EFO_0002796,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JURKAT,http://www.ebi.ac.uk/efo/EFO_0002796,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Yes,other
JURL-MK1,run_JURL_MK1.1,JURL-MK1,NA,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JURL-MK1,NA,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Yes,other
JVM-2,run_JVM_2.1,JVM-2,http://www.ebi.ac.uk/efo/EFO_0005476,Mantle cell lymphoma,http://www.ebi.ac.uk/efo/EFO_1001469,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JVM-2,http://www.ebi.ac.uk/efo/EFO_0005476,Mantle cell lymphoma,http://www.ebi.ac.uk/efo/EFO_1001469,Yes,other
JVM-3,run_JVM_3.1,JVM-3,http://www.ebi.ac.uk/efo/EFO_0002214,B-cell prolymphocytic leukemia,http://www.ebi.ac.uk/efo/EFO_1000102,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JVM-3,http://www.ebi.ac.uk/efo/EFO_0002214,B-cell prolymphocytic leukemia,http://www.ebi.ac.uk/efo/EFO_1000102,Yes,other
JeKo-1,run_JeKo_1.3,JeKo-1,http://www.ebi.ac.uk/efo/EFO_0005387,Mantle cell lymphoma,http://www.ebi.ac.uk/efo/EFO_1001469,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,JeKo-1,http://www.ebi.ac.uk/efo/EFO_0005387,Mantle cell lymphoma,http://www.ebi.ac.uk/efo/EFO_1001469,Yes,other
K-562,run_K_562.3,K-562,http://www.ebi.ac.uk/efo/EFO_0002067,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,K-562,http://www.ebi.ac.uk/efo/EFO_0002067,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Yes,other
K029AX,run_K029AX.1,K029AX,NA,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,K029AX,NA,cutaneous melanoma,http://www.ebi.ac.uk/efo/EFO_0000389,Yes,other
KALS-1,run_KALS_1.2,KALS-1,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,KALS-1,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
KARPAS-299,run_KARPAS_299.1,KARPAS-299,http://www.ebi.ac.uk/efo/EFO_0005390,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,KARPAS-299,http://www.ebi.ac.uk/efo/EFO_0005390,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Yes,other
KARPAS-422,run_KARPAS_422.1,KARPAS-422,http://www.ebi.ac.uk/efo/EFO_0005719,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,KARPAS-422,http://www.ebi.ac.uk/efo/EFO_0005719,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
KARPAS-620,run_KARPAS_620.1,KARPAS-620,http://www.ebi.ac.uk/efo/EFO_0006449,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,KARPAS-620,http://www.ebi.ac.uk/efo/EFO_0006449,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Yes,other
KASUMI-1,run_KASUMI_1.1,KASUMI-1,http://www.ebi.ac.uk/efo/EFO_0006607,childhood acute myeloid leukemia with maturation,http://www.ebi.ac.uk/efo/EFO_1001945,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,KASUMI-1,http://www.ebi.ac.uk/efo/EFO_0006607,childhood acute myeloid leukemia with maturation,http://www.ebi.ac.uk/efo/EFO_1001945,Yes,other
KASUMI-2,run_KASUMI_2.1,KASUMI-2,http://www.ebi.ac.uk/efo/EFO_0002224,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,KASUMI-2,http://www.ebi.ac.uk/efo/EFO_0002224,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,Yes,other
